run_id,scenario,window_index,window_start_ts,window_end_ts,ip,role,flow_count,packet_count,byte_count,unique_peer_ip_count,unique_peer_port_count,peer_ip_entropy,peer_port_entropy,syn_flow_count,syn_flow_ratio,mean_flow_duration,mean_packets_per_flow,packet_rate_pps,byte_rate_bps
run_001,benign,0,1726135200.339655,1726135210.339655,10.0.1.10,dst,1,4,195,1,1,-0.0,-0.0,0,0.0,0.159036,4.0,0.4,19.5
run_001,benign,0,1726135200.339655,1726135210.339655,10.0.1.112,dst,1,3,144,1,1,-0.0,-0.0,0,0.0,0.113335,3.0,0.3,14.4
run_001,benign,0,1726135200.339655,1726135210.339655,10.0.1.160,dst,1,7,3311,1,1,-0.0,-0.0,0,0.0,1.4838,7.0,0.7,331.1
run_001,benign,0,1726135200.339655,1726135210.339655,10.0.1.17,dst,1,5,1244,1,1,-0.0,-0.0,0,0.0,0.304827,5.0,0.5,124.4
run_001,benign,0,1726135200.339655,1726135210.339655,10.0.1.205,dst,1,4,195,1,1,-0.0,-0.0,0,0.0,0.139569,4.0,0.4,19.5
run_001,benign,0,1726135200.339655,1726135210.339655,10.0.1.227,dst,1,7,196,1,1,-0.0,-0.0,0,0.0,1.833825,7.0,0.7,19.6
run_001,benign,0,1726135200.339655,1726135210.339655,10.0.1.247,dst,1,4,199,1,1,-0.0,-0.0,0,0.0,0.110127,4.0,0.4,19.9
run_001,benign,0,1726135200.339655,1726135210.339655,10.0.0.122,src,1,7,196,1,1,-0.0,-0.0,0,0.0,1.833825,7.0,0.7,19.6
run_001,benign,0,1726135200.339655,1726135210.339655,10.0.0.142,src,1,5,1244,1,1,-0.0,-0.0,0,0.0,0.304827,5.0,0.5,124.4
run_001,benign,0,1726135200.339655,1726135210.339655,10.0.0.180,src,1,7,3311,1,1,-0.0,-0.0,0,0.0,1.4838,7.0,0.7,331.1
run_001,benign,0,1726135200.339655,1726135210.339655,10.0.0.206,src,1,3,144,1,1,-0.0,-0.0,0,0.0,0.113335,3.0,0.3,14.4
run_001,benign,0,1726135200.339655,1726135210.339655,10.0.0.239,src,1,4,195,1,1,-0.0,-0.0,0,0.0,0.139569,4.0,0.4,19.5
run_001,benign,0,1726135200.339655,1726135210.339655,10.0.0.37,src,1,4,199,1,1,-0.0,-0.0,0,0.0,0.110127,4.0,0.4,19.9
run_001,benign,0,1726135200.339655,1726135210.339655,10.0.0.67,src,1,4,195,1,1,-0.0,-0.0,0,0.0,0.159036,4.0,0.4,19.5
run_001,benign,1,1726135210.339655,1726135220.339655,10.0.1.110,dst,1,10,4491,1,1,-0.0,-0.0,0,0.0,2.004192,10.0,1.0,449.1
run_001,benign,1,1726135210.339655,1726135220.339655,10.0.1.146,dst,1,7,329,1,1,-0.0,-0.0,0,0.0,0.225211,7.0,0.7,32.9
run_001,benign,1,1726135210.339655,1726135220.339655,10.0.1.22,dst,1,9,3899,1,1,-0.0,-0.0,0,0.0,1.893092,9.0,0.9,389.9
run_001,benign,1,1726135210.339655,1726135220.339655,10.0.1.230,dst,1,3,124,1,1,-0.0,-0.0,0,0.0,0.061577,3.0,0.3,12.4
run_001,benign,1,1726135210.339655,1726135220.339655,10.0.1.236,dst,2,15,420,2,1,1.0,-0.0,0,0.0,1.724644,7.5,1.5,42.0
run_001,benign,1,1726135210.339655,1726135220.339655,10.0.1.254,dst,1,8,3773,1,1,-0.0,-0.0,0,0.0,2.120546,8.0,0.8,377.3
run_001,benign,1,1726135210.339655,1726135220.339655,10.0.1.32,dst,1,8,224,1,1,-0.0,-0.0,0,0.0,1.201288,8.0,0.8,22.4
run_001,benign,1,1726135210.339655,1726135220.339655,10.0.1.38,dst,1,2,96,1,1,-0.0,-0.0,0,0.0,0.007159,2.0,0.2,9.6
run_001,benign,1,1726135210.339655,1726135220.339655,10.0.1.41,dst,1,3,139,1,1,-0.0,-0.0,0,0.0,0.109074,3.0,0.3,13.9
run_001,benign,1,1726135210.339655,1726135220.339655,10.0.1.44,dst,1,5,140,1,1,-0.0,-0.0,0,0.0,1.161793,5.0,0.5,14.0
run_001,benign,1,1726135210.339655,1726135220.339655,10.0.0.110,src,1,10,4491,1,1,-0.0,-0.0,0,0.0,2.004192,10.0,1.0,449.1
run_001,benign,1,1726135210.339655,1726135220.339655,10.0.0.197,src,1,7,196,1,1,-0.0,-0.0,0,0.0,1.845822,7.0,0.7,19.6
run_001,benign,1,1726135210.339655,1726135220.339655,10.0.0.2,src,1,2,96,1,1,-0.0,-0.0,0,0.0,0.007159,2.0,0.2,9.6
run_001,benign,1,1726135210.339655,1726135220.339655,10.0.0.203,src,1,5,140,1,1,-0.0,-0.0,0,0.0,1.161793,5.0,0.5,14.0
run_001,benign,1,1726135210.339655,1726135220.339655,10.0.0.47,src,1,8,224,1,1,-0.0,-0.0,0,0.0,1.603466,8.0,0.8,22.4
run_001,benign,1,1726135210.339655,1726135220.339655,10.0.0.49,src,1,3,124,1,1,-0.0,-0.0,0,0.0,0.061577,3.0,0.3,12.4
run_001,benign,1,1726135210.339655,1726135220.339655,10.0.0.74,src,2,15,4102,2,2,1.0,1.0,0,0.0,1.172878,7.5,1.5,410.2
run_001,benign,1,1726135210.339655,1726135220.339655,10.0.0.88,src,1,8,224,1,1,-0.0,-0.0,0,0.0,1.201288,8.0,0.8,22.4
run_001,benign,1,1726135210.339655,1726135220.339655,10.0.0.95,src,1,3,139,1,1,-0.0,-0.0,0,0.0,0.109074,3.0,0.3,13.9
run_001,benign,1,1726135210.339655,1726135220.339655,10.0.0.99,src,1,9,3899,1,1,-0.0,-0.0,0,0.0,1.893092,9.0,0.9,389.9
run_001,benign,2,1726135220.339655,1726135230.339655,10.0.1.17,dst,1,8,392,1,1,-0.0,-0.0,0,0.0,0.317988,8.0,0.8,39.2
run_001,benign,2,1726135220.339655,1726135230.339655,10.0.1.23,dst,1,6,274,1,1,-0.0,-0.0,0,0.0,0.346197,6.0,0.6,27.4
run_001,benign,2,1726135220.339655,1726135230.339655,10.0.0.212,src,1,6,274,1,1,-0.0,-0.0,0,0.0,0.346197,6.0,0.6,27.4
run_001,benign,2,1726135220.339655,1726135230.339655,10.0.0.225,src,1,8,392,1,1,-0.0,-0.0,0,0.0,0.317988,8.0,0.8,39.2
run_001,ddos,0,1726135200.899204,1726135210.899204,10.0.1.107,dst,20,295,9940,10,20,3.321928,4.321928,10,0.5,0.355434,14.75,29.5,994.0
run_001,ddos,0,1726135200.899204,1726135210.899204,10.0.1.147,dst,1,3,84,1,1,-0.0,-0.0,0,0.0,0.467394,3.0,0.3,8.4
run_001,ddos,0,1726135200.899204,1726135210.899204,10.0.1.159,dst,1,4,171,1,1,-0.0,-0.0,0,0.0,0.054952,4.0,0.4,17.1
run_001,ddos,0,1726135200.899204,1726135210.899204,10.0.1.32,dst,1,7,280,1,1,-0.0,-0.0,0,0.0,1.22809,7.0,0.7,28.0
run_001,ddos,0,1726135200.899204,1726135210.899204,10.0.1.91,dst,1,7,280,1,1,-0.0,-0.0,0,0.0,1.56846,7.0,0.7,28.0
run_001,ddos,0,1726135200.899204,1726135210.899204,10.0.0.103,src,2,33,1104,1,2,-0.0,1.0,1,0.5,0.421303,16.5,3.3,110.4
run_001,ddos,0,1726135200.899204,1726135210.899204,10.0.0.104,src,1,7,280,1,1,-0.0,-0.0,0,0.0,1.56846,7.0,0.7,28.0
run_001,ddos,0,1726135200.899204,1726135210.899204,10.0.0.108,src,2,26,884,1,2,-0.0,1.0,1,0.5,0.350954,13.0,2.6,88.4
run_001,ddos,0,1726135200.899204,1726135210.899204,10.0.0.151,src,2,31,1048,1,2,-0.0,1.0,1,0.5,0.401015,15.5,3.1,104.8
